"geocodigo","comuna_cod","pob_zona","pob_comuna","n_personas","prob_media","prob_suma","n_consumidores","prop_jovenes","prop_adultos","prop_universitarios","gasto_total","gasto_medio","peso_zona","demanda_prob_zona","demanda_gasto_zona"
"13101071001","13101",5009,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.0123833421921161,8.27159031087843,576711.454822091
"13101071002","13101",3511,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00867995896117381,5.79787454212301,404239.153100492
"13101071003","13101",3368,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00832643172350709,5.56173211559963,387774.841253904
"13101081001","13101",3716,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00918676374244428,6.13640039832786,427841.83791553
"13101081002","13101",5244,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.0129643135267432,8.65965653628398,603768.191073477
"13101081003","13101",3326,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00822259854880777,5.49237559871864,382939.169243018
"13101081004","13101",2794,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00690737833594976,4.61385971822606,321687.323771795
"13101091001","13101",3393,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00838823718463763,5.60301575660022,390653.217450859
"13101091002","13101",3321,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00821023745658166,5.48411887051852,382363.494003626
"13101091003","13101",3210,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00793582120916204,5.30081950447589,369583.503689142
"13101091004","13101",2956,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.0073078777240757,4.88137771190989,340339.20152807
"13101101001","13101",2491,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00615829614704755,4.11350198929889,286801.404264689
"13101101002","13101",1820,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00449943757030371,3.00544906484303,209545.787138392
"13101101003","13101",2768,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.006843100656374,4.57092473158544,318693.812526961
"13101101004","13101",2423,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00599018529277247,4.00121048577729,278972.221008969
"13101101005","13101",1805,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00446235429362538,2.98067888024268,207818.761420219
"13101101006","13101",1296,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00320399510500748,2.14014394947064,149215.022050196
"13101101007","13101",2965,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.0073301276900827,4.8962398226701,341375.416958974
"13101101008","13101",1624,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00401488275504024,2.6817853193984,186979.317754258
"13101101009","13101",1345,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00332513380882335,2.2210598858318,154856.639396229
"13101101010","13101",2930,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00724360004449993,4.83844272526927,337345.690283236
"13101111001","13101",2555,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00631651812754175,4.21918811026041,294170.047328897
"13101111002","13101",2594,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.0064129346469054,4.28359059022133,298660.314196148
"13101111003","13101",2269,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00560946365220831,3.74690325721365,261241.423635721
"13101111004","13101",1996,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00493454801666275,3.29608589748719,229809.555564962
"13101111005","13101",1960,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00484554815263477,3.23663745444634,225664.693841345
"13101111006","13101",1677,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00414591033263699,2.76930663831965,193081.475291804
"13101111007","13101",1859,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00459585408966736,3.06985154480395,214036.054005643
"13101111008","13101",2552,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00630910147220608,4.21423407334034,293824.642185262
"13101111009","13101",3455,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00854151472824139,5.70539918628169,397791.59041931
"13101111010","13101",2560,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00632887921976786,4.22744483846053,294745.722568288
"13101111011","13101",1550,404495,1503,0.444418532708825,667.961054661364,909,0.294078509647372,0.236859614105123,0.497671324018629,46571551.1915076,51233.8296936278,0.00383193859009382,2.55958574203665,178459.324211268
