"geocodigo","nom_comuna","urbano","comuna_cod","pob_zona","pob_comuna","n_personas","prob_media","prob_suma","n_consumidores","prop_jovenes","prop_adultos","prop_universitarios","gasto_total","gasto_medio","peso_zona","demanda_prob_zona.x","demanda_gasto_zona","demanda_prob_zona.y","oferta_n","demanda_x_local","demanda_cat","oferta_cat","categoria_do"
"13120111003","ÑUÑOA",1,"13120",2490,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0119575291614843,6.56463537612961,611895.442370246,6.56463537612961,10,0.656463537612961,"Alta","Alta","Alta demanda / Alta oferta"
"13120031002","ÑUÑOA",1,"13120",3612,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0173456206149724,9.52267589501211,887617.003149128,9.52267589501211,22,0.432848904318732,"Alta","Alta","Alta demanda / Alta oferta"
"13120101002","ÑUÑOA",1,"13120",3444,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0165388475631132,9.07976073710457,846332.49137475,9.07976073710457,12,0.756646728092047,"Alta","Alta","Alta demanda / Alta oferta"
"13120111001","ÑUÑOA",1,"13120",4210,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0202173485019473,11.099242945183,1034570.20577459,11.099242945183,61,0.181954802380049,"Alta","Alta","Alta demanda / Alta oferta"
"13120041001","ÑUÑOA",1,"13120",5705,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0273966682193846,15.0406605706102,1401953.21233825,15.0406605706102,21,0.716221931933819,"Alta","Alta","Alta demanda / Alta oferta"
"13120101003","ÑUÑOA",1,"13120",3492,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0167693541493587,9.20630792507815,858128.066167429,9.20630792507815,6,1.53438465417969,"Alta","Alta","Alta demanda / Alta oferta"
"13120101005","ÑUÑOA",1,"13120",3430,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0164716164754583,9.04285114061227,842892.115393552,9.04285114061227,9,1.00476123784581,"Alta","Alta","Alta demanda / Alta oferta"
"13120101006","ÑUÑOA",1,"13120",3623,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.017398445040987,9.55167629225605,890320.155705784,9.55167629225605,12,0.795973024354671,"Alta","Alta","Alta demanda / Alta oferta"
"13120041004","ÑUÑOA",1,"13120",2950,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0141665506130035,7.77737926087644,724936.367466757,7.77737926087644,0,NA,"Alta","Baja","Alta demanda / Baja oferta"
"13120051002","ÑUÑOA",1,"13120",4876,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0234156273861033,12.8550851783165,1198233.80602302,12.8550851783165,9,1.42834279759072,"Alta","Alta","Alta demanda / Alta oferta"
"13120051004","ÑUÑOA",1,"13120",2497,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0119911447053117,6.58309017437576,613615.630360845,6.58309017437576,35,0.18808829069645,"Alta","Alta","Alta demanda / Alta oferta"
"13120051001","ÑUÑOA",1,"13120",2466,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0118422758683615,6.50136178214282,605997.654973906,6.50136178214282,2,3.25068089107141,"Alta","Alta","Alta demanda / Alta oferta"
"13120071003","ÑUÑOA",1,"13120",4227,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0202989862512426,11.1440617409236,1038747.80518033,11.1440617409236,0,NA,"Alta","Baja","Alta demanda / Baja oferta"
"13120101008","ÑUÑOA",1,"13120",3530,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0169518385301363,9.30649111555724,867466.229544967,9.30649111555724,2,4.65324555777862,"Alta","Alta","Alta demanda / Alta oferta"
"13120071004","ÑUÑOA",1,"13120",3028,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0145411238156524,7.98301844133352,744104.176504861,7.98301844133352,5,1.5966036882667,"Alta","Alta","Alta demanda / Alta oferta"
"13120101007","ÑUÑOA",1,"13120",3264,208237,1019,0.538759543303381,548.995974626145,776,0.212953876349362,0.267909715407262,0.680078508341511,51172398.0854831,65943.8119658287,0.0156744478646926,8.60520878220363,802099.085902202,8.60520878220363,2,4.30260439110182,"Alta","Alta","Alta demanda / Alta oferta"
