"geocodigo","oferta_n","oferta_restaurant","oferta_fastfood","oferta_cafe","pob_zona","oferta_x1000hab"
"13127101002",4,4,0,0,2083,1.92030724915987
"13127091001",0,0,0,0,4352,0
"13107041001",0,0,0,0,3864,0
"13127021001",15,4,1,1,5169,2.90191526407429
"13127101001",42,23,3,1,2319,18.111254851229
"13127021004",7,3,0,0,3193,2.19229564672722
"13108011001",6,2,0,0,3193,1.87911055433761
"13124011002",0,0,0,0,3456,0
"13127011001",41,20,2,5,3238,12.6621371216801
"13127011002",19,10,3,2,4011,4.73697332336076
"13127021002",4,3,1,0,5758,0.69468565474123
"13107011002",1,1,0,0,3372,0.29655990510083
"13127061005",2,0,0,2,2850,0.701754385964912
"13120021005",15,1,3,3,2837,5.28727529080014
"13107011007",2,1,0,1,4464,0.448028673835125
"13107011008",8,4,0,0,7039,1.13652507458446
"13107011004",5,1,0,0,5032,0.993640699523052
"13121011003",0,0,0,0,5959,0
"13107011003",23,6,12,1,5516,4.16968817984046
"13107011006",47,14,14,3,5087,9.23923727147631
"13107031001",0,0,0,0,3986,0
"13107041002",1,0,1,0,3210,0.311526479750779
"13107031003",0,0,0,0,214,0
"13107041003",0,0,0,0,6381,0
"13107021002",0,0,0,0,5352,0
"13107031002",0,0,0,0,5832,0
"13107061001",12,0,0,2,4707,2.54939451880178
"13107051001",11,8,0,3,3532,3.11438278595697
"13107011009",6,1,0,1,5164,1.16189000774593
"13107011005",7,2,0,1,5572,1.25628140703518
"13107011010",2,1,1,0,6333,0.315806095057635
"13107011001",5,1,0,0,3312,1.50966183574879
"13124041002",10,4,2,0,3719,2.68889486421081
"13107021003",3,3,0,0,7074,0.424088210347752
"13121011002",0,0,0,0,4565,0
"13107021001",0,0,0,0,3457,0
"13114051001",4,1,1,2,4173,0.958543014617781
"13121021002",0,0,0,0,4473,0
"13115011008",15,3,1,1,6432,2.33208955223881
"13105071001",5,1,0,0,4551,1.098659635245
"13115021001",2,1,1,0,3554,0.56274620146314
"13115011011",0,0,0,0,4261,0
"13121021004",0,0,0,0,2993,0
"13124041003",0,0,0,0,2676,0
"13115011007",0,0,0,0,4870,0
"13115021005",0,0,0,0,5667,0
"13115041005",0,0,0,0,5360,0
"13121061001",0,0,0,0,5990,0
"13121011001",12,2,0,0,3659,3.27958458595245
"13121031004",0,0,0,0,3809,0
"13121031001",0,0,0,0,3452,0
"13121051001",0,0,0,0,3370,0
"13121061003",1,0,1,0,3072,0.325520833333333
"13121051004",1,1,0,0,4705,0.212539851222104
"13121031002",0,0,0,0,2113,0
"13121051002",0,0,0,0,3973,0
"13121031003",0,0,0,0,3557,0
"13121041001",0,0,0,0,4072,0
"13121041003",0,0,0,0,4215,0
"13121071002",8,0,3,1,2131,3.75410605349601
"13121071001",2,0,2,0,3662,0.546149645002731
"13121071003",2,1,1,0,3324,0.601684717208183
"13121051003",0,0,0,0,1706,0
"13106111003",8,3,0,0,2745,2.9143897996357
"13121071004",0,0,0,0,3998,0
"13121041004",1,0,1,0,2836,0.352609308885755
"13121041002",1,0,1,0,2810,0.355871886120996
"13121081001",0,0,0,0,3313,0
"13121081002",0,0,0,0,2566,0
"13121061002",0,0,0,0,4844,0
"13121021003",1,1,0,0,3965,0.252206809583859
"13106111001",0,0,0,0,1473,0
"13106131004",13,2,0,2,1430,9.09090909090909
"13106101002",1,0,1,0,3147,0.317762948840165
"13106111002",0,0,0,0,3293,0
"13106131001",3,2,1,0,2153,1.3934045517882
"13106101004",1,0,1,0,4744,0.21079258010118
"13106081001",0,0,0,0,3198,0
"13106081005",1,0,1,0,4834,0.206868018204386
"13106091001",0,0,0,0,2737,0
"13105071002",0,0,0,0,4283,0
"13106091002",11,3,0,0,2637,4.17140690178233
"13106081006",0,0,0,0,2139,0
"13106051001",0,0,0,0,3138,0
"13106081002",0,0,0,0,2327,0
"13106081003",6,2,0,0,4132,1.45208131655373
"13106061002",0,0,0,0,4868,0
"13106051003",1,1,0,0,2703,0.369959304476508
"13106041001",1,0,1,0,5707,0.175223409847556
"13106021001",0,0,0,0,1738,0
"13108011005",7,1,1,0,6231,1.12341518215375
"13106041002",0,0,0,0,6001,0
"13106141002",0,0,0,0,5107,0
"13106061004",0,0,0,0,1593,0
"13106031003",0,0,0,0,2545,0
"13106101001",5,0,1,0,3871,1.29165590286748
"13114031007",22,2,2,0,1867,11.7836100696304
"13106031002",0,0,0,0,2175,0
"13106101005",5,1,4,0,3377,1.48060408646728
"13119201002",1,1,0,0,4126,0.242365487154629
"13106121002",40,2,14,2,2846,14.0548137737175
"13106121001",0,0,0,0,3444,0
"13106111004",15,3,0,1,2920,5.13698630136986
"13106131002",41,9,16,2,4662,8.7945087945088
"13106131003",17,4,0,1,4573,3.71747211895911
"13106011001",9,2,6,1,1676,5.36992840095465
"13106101003",15,3,3,0,5016,2.99043062200957
"13106051002",0,0,0,0,1868,0
"13106061001",1,1,0,0,1772,0.564334085778781
"13106031001",0,0,0,0,2951,0
"13106071001",2,2,0,0,2613,0.765403750478377
"13106081004",10,2,0,0,2199,4.5475216007276
"13106021002",0,0,0,0,1753,0
"13129071002",0,0,0,0,2005,0
"13106071003",0,0,0,0,5606,0
"13106141001",0,0,0,0,4740,0
"13109041003",18,4,0,0,2768,6.5028901734104
"13106071002",1,0,1,0,4827,0.207168013258753
"13106061003",5,0,1,0,3531,1.41602945341263
"13109021001",0,0,0,0,3473,0
"13109021004",19,5,1,0,3785,5.01981505944518
"13109031003",18,3,1,0,5430,3.31491712707182
"13109021003",1,1,0,0,3104,0.322164948453608
"13109021005",0,0,0,0,2226,0
"13109021002",21,7,1,0,3609,5.8187863674148
"13124101004",8,1,3,0,2167,3.69173973234887
"13109031001",17,3,2,0,4993,3.40476667334268
"13109011001",0,0,0,0,3616,0
"13109031002",13,2,3,0,5428,2.39498894620486
"13109011003",21,7,0,0,4003,5.24606545091182
"13109041001",14,4,1,0,3500,4
"13109041002",0,0,0,0,4374,0
"13109041004",2,1,1,0,3015,0.66334991708126
"13109011002",13,3,0,0,5167,2.51596671182504
"13109011004",19,4,2,0,3776,5.03177966101695
"13109061001",0,0,0,0,4047,0
"13109061002",12,2,0,0,5848,2.05198358413133
"13109061003",14,4,0,0,3134,4.46713465220166
"13109051003",5,1,0,0,3814,1.31095962244363
"13105051003",0,0,0,0,4052,0
"13109061004",0,0,0,0,2045,0
"13109051001",4,1,3,0,5036,0.79428117553614
"13109051002",17,3,1,0,3698,4.59707950243375
"13105021001",0,0,0,0,3650,0
"13105011001",0,0,0,0,2852,0
"13105091004",1,1,0,0,3027,0.330360092500826
"13105021002",0,0,0,0,4702,0
"13105021003",1,0,1,0,3333,0.3000300030003
"13105011002",16,3,1,0,5693,2.81046899701388
"13105011005",0,0,0,0,7053,0
"13105031001",27,9,0,0,3682,7.33297121129821
"13105031002",6,1,0,0,1768,3.39366515837104
"13105041001",0,0,0,0,3448,0
"13105041002",0,0,0,0,5058,0
"13105051001",11,3,0,0,2557,4.30191630817364
"13105051002",0,0,0,0,2862,0
"13105051004",0,0,0,0,4140,0
"13105051005",0,0,0,0,3977,0
"13105091001",1,1,0,0,3935,0.254129606099111
"13105061001",1,1,0,0,4275,0.233918128654971
"13105091002",2,0,2,0,5386,0.371333085777943
"13105061002",0,0,0,0,3975,0
"13105061004",0,0,0,0,5277,0
"13105091003",3,1,2,0,4352,0.689338235294118
"13105061005",0,0,0,0,5166,0
"13129071004",6,1,0,0,1037,5.78592092574735
"13105061003",0,0,0,0,4648,0
"13105081001",0,0,0,0,2762,0
"13105071004",0,0,0,0,4616,0
"13105071003",0,0,0,0,3901,0
"13105081004",3,0,2,1,5442,0.551267916207277
"13105081005",0,0,0,0,4957,0
"13105071005",0,0,0,0,3630,0
"13105101001",11,3,0,0,5091,2.1606757022196
"13105101002",0,0,0,0,6389,0
"13105101003",1,1,0,0,5573,0.179436569172797
"13105081002",1,0,0,1,3636,0.275027502750275
"13105081003",5,1,0,0,4696,1.06473594548552
"13103071004",4,4,0,0,4004,0.999000999000999
"13105011003",9,0,7,2,525,17.1428571428571
"13116051001",0,0,0,0,2104,0
"13116051002",14,3,3,0,3505,3.99429386590585
"13116041002",2,0,2,0,3726,0.536768652710682
"13116061001",5,1,0,0,2805,1.7825311942959
