"geocodigo","demanda_prob_zona","dist_rest_nearest_m","cubierta_actual","dist_nuevo_m","cubierta_nuevo","cubierta_despues","mejora_cobertura","dist_mejor_m","mejora_dist_m"
"13110061008",4.7629860889561,206.298943904808,1,10906.8803977113,0,1,0,206.298943904808,0
"13110031001",5.55853907995311,144.243087192589,1,10468.0936153596,0,1,0,144.243087192589,0
"13110031006",4.8904123256093,304.461247189867,1,10607.5518817607,0,1,0,304.461247189867,0
"13110031002",4.98856496735568,382.723336686181,0,10605.620306266,0,0,0,382.723336686181,0
"13110211003",7.79710810223905,274.329688541925,1,10462.956556967,0,1,0,274.329688541925,0
"13110211002",4.78192782683698,388.119863243662,0,10483.4732227539,0,0,0,388.119863243662,0
"13110081002",7.40449753525352,802.661732247437,0,11288.3324336797,0,0,0,802.661732247437,0
"13110191002",4.14651861974197,218.994529379878,1,11036.5233878197,0,1,0,218.994529379878,0
"13110081001",7.1840845853669,341.129547244909,1,11380.9323351226,0,1,0,341.129547244909,0
"13110031003",5.73762460173598,403.667228260504,0,11088.6674603741,0,0,0,403.667228260504,0
"13110031004",6.47807435526133,226.846305241488,1,11010.812161788,0,1,0,226.846305241488,0
"13110201003",7.16514284748602,287.974360909968,1,11301.8686464356,0,1,0,287.974360909968,0
"13110191001",5.96836940864853,496.225260326184,0,11069.6665898777,0,0,0,496.225260326184,0
"13110041001",7.26673944157438,225.329639853471,1,11472.5470285875,0,1,0,225.329639853471,0
"13110191003",6.05446821719799,195.967108429946,1,11606.9768277249,0,1,0,195.967108429946,0
"13110191004",8.21210435944745,149.397866032876,1,11650.1778843351,0,1,0,149.397866032876,0
"13110091002",6.3403162615822,972.772183448329,0,12271.6265089471,0,0,0,972.772183448329,0
"13101031006",2.80233355112012,41.9182940544359,1,5849.7880317331,0,1,0,41.9182940544359,0
"13110091005",6.75875647113257,1224.04319781589,0,12571.8471781892,0,0,0,1224.04319781589,0
"13110041002",6.58828083020464,183.125158897386,1,11875.4135783679,0,1,0,183.125158897386,0
"13110091003",4.24467126148835,308.335418435207,1,12396.859215249,0,1,0,308.335418435207,0
"13110111005",8.06573638491337,549.230779401046,0,13947.9886527101,0,0,0,549.230779401046,0
"13110101003",6.38680961819891,149.762730564521,1,12390.9702512947,0,1,0,149.762730564521,0
"13110091004",6.75014659027763,777.493688817585,0,13035.2139847843,0,0,0,777.493688817585,0
"13110101002",7.67312581792783,205.376838284319,1,13031.6759606191,0,1,0,205.376838284319,0
"13110101005",7.07904403893656,171.365120196159,1,12912.5439055298,0,1,0,171.365120196159,0
"13110101004",4.459918282862,138.602242883609,1,12870.6627181935,0,1,0,138.602242883609,0
"13110181004",4.17923616699076,272.225618320124,1,13169.0296283558,0,1,0,272.225618320124,0
"13110111001",8.00891117127072,232.144007591905,1,13533.3609625033,0,1,0,232.144007591905,0
"13110121001",5.69801914980323,209.116579530702,1,13428.7918675379,0,1,0,209.116579530702,0
"13110111006",4.07075166821845,214.638285443476,1,13995.4440065715,0,1,0,214.638285443476,0
"13110151001",8.14666926494986,433.959785696656,0,13566.8709985944,0,0,0,433.959785696656,0
"13110111002",4.53051930587256,270.102722326817,1,13999.3024900278,0,1,0,270.102722326817,0
"13110111007",6.71054113834487,323.951854491251,1,13981.4676859206,0,1,0,323.951854491251,0
"13110151002",5.50860177099442,322.744240492343,1,14005.0457587101,0,1,0,322.744240492343,0
"13110121003",5.75656633961686,203.822606741523,1,14072.3770067947,0,1,0,203.822606741523,0
"13110111003",9.06620454025809,87.0714149753395,1,14540.773897448,0,1,0,87.0714149753395,0
"13110151005",3.64025762547115,286.281682475727,1,14043.6500207387,0,1,0,286.281682475727,0
"13110161006",5.07466377590514,375.431043098419,0,14220.7862388245,0,0,0,375.431043098419,0
"13110111004",7.80055205458103,276.65642942544,1,14538.9301629838,0,1,0,276.65642942544,0
"13110161005",3.19426579718495,762.8325688685,0,14302.7363899854,0,0,0,762.8325688685,0
"13110121004",6.3248184760433,297.686508082076,1,14581.7016270401,0,1,0,297.686508082076,0
"13110141007",6.03380450314612,382.900138172343,0,14359.2063857675,0,0,0,382.900138172343,0
"13110141004",4.75437620810115,384.666482410276,0,14542.3237288037,0,0,0,384.666482410276,0
"13110141003",6.48496225994529,193.181814581867,1,14387.4454174399,0,1,0,193.181814581867,0
"13110131001",6.83280144648511,629.209606536014,0,14632.4754209222,0,0,0,629.209606536014,0
"13110141001",4.22745149977846,337.605367319727,1,14705.2199351124,0,1,0,337.605367319727,0
"13110141002",5.43455679564188,382.045662093225,0,14787.3483810506,0,0,0,382.045662093225,0
"13110201002",5.6876872927773,519.336035753189,0,11314.2698582517,0,0,0,519.336035753189,0
"13110141005",4.938627658397,819.66283204896,0,15011.2964262578,0,0,0,819.66283204896,0
"13110201001",3.29069646276034,718.580292861393,0,10848.8552005275,0,0,0,718.580292861393,0
"13110131002",7.13414727640821,787.809586773078,0,15046.5318039361,0,0,0,787.809586773078,0
"13110131003",6.71570706685784,185.294798906056,1,15186.7646386908,0,1,0,185.294798906056,0
"13110011001",7.9486420052861,128.165534471394,1,9388.18524295373,0,1,0,128.165534471394,0
"13110071002",12.8166686406725,733.314714744004,0,11003.7997232681,0,0,0,733.314714744004,0
"13110021004",3.15638232142319,123.006144036163,1,9885.11673886985,0,1,0,123.006144036163,0
"13110081004",6.58483687786266,743.348337190671,0,11437.2398406548,0,0,0,743.348337190671,0
"13110071001",6.02691659846217,856.358537872703,0,10728.4326376766,0,0,0,856.358537872703,0
"13110081003",7.01533092060996,1058.81250755085,0,11816.6375365902,0,0,0,1058.81250755085,0
"13112071001",4.58907877769012,709.334331727007,0,14970.560949872,0,0,0,709.334331727007,0
"13112051007",5.63804876856523,176.887399560359,1,14112.2280064788,0,1,0,176.887399560359,0
"13112071005",4.1365043036396,478.841996954158,0,14906.1852239833,0,0,0,478.841996954158,0
"13112071002",3.93594651922071,281.13732676211,1,14846.2544202732,0,1,0,281.13732676211,0
"13112051006",4.56268959552974,178.013141132521,1,14268.4871553425,0,1,0,178.013141132521,0
"13112071003",4.93609652309912,402.386655105115,0,14759.8195334543,0,0,0,402.386655105115,0
"13112051009",5.9481216589497,357.831711802247,1,14374.3455975972,0,1,0,357.831711802247,0
"13112071004",4.43866043937595,115.045820846712,1,14692.0885494384,0,1,0,115.045820846712,0
"13112051008",4.98887488741988,206.327371376398,1,14517.3624538787,0,1,0,206.327371376398,0
"13112051003",6.71340794160072,273.243486171475,1,14857.7643781857,0,1,0,273.243486171475,0
"13112041007",6.84667331151064,252.317171619583,1,14972.4240089623,0,1,0,252.317171619583,0
"13112041001",6.02333082810678,509.025897095229,0,15389.5047319142,0,0,0,509.025897095229,0
"13112041005",4.23150535941696,210.25238014757,1,15287.6186182088,0,1,0,210.25238014757,0
"13112041006",4.511230690317,42.9759180661196,1,15022.3086396367,0,1,0,42.9759180661196,0
"13112031002",7.8151562967966,299.665676490685,1,17376.1399684905,0,1,0,299.665676490685,0
"13101121005",3.45956911584953,86.0028805622999,1,5143.50982621676,0,1,0,86.0028805622999,0
"13112051004",0.0131945910801901,1097.47442988685,0,15847.0490095538,0,0,0,1097.47442988685,0
"13112031001",5.10630674803357,813.637513878643,0,17040.9337614933,0,0,0,813.637513878643,0
"13112081009",6.00090002327046,360.878271894126,1,18310.635943611,0,1,0,360.878271894126,0
"13112031003",6.54979501220637,58.9556730680816,1,17317.8589538571,0,1,0,58.9556730680816,0
"13112021001",6.9891748951767,626.667677890295,0,16892.7876167094,0,0,0,626.667677890295,0
"13112061001",6.27138914041435,461.530094814551,0,16842.78902616,0,0,0,461.530094814551,0
"13112061002",6.44951611999692,759.929268143329,0,16781.0995274502,0,0,0,759.929268143329,0
"13127021003",5.85482610083146,165.565146314388,1,4360.66724717318,0,1,0,165.565146314388,0
"13112031004",6.55771176685448,693.272900029996,0,17509.2302844508,0,0,0,693.272900029996,0
"13112021004",6.0457616329431,177.055798375663,1,17293.7916021899,0,1,0,177.055798375663,0
"13112061003",4.19587996350045,551.139796228543,0,17450.365689579,0,0,0,551.139796228543,0
"13112021002",4.23810265495706,306.796297346011,1,17489.8637141473,0,1,0,306.796297346011,0
"13112031005",3.7617779169622,370.871970874204,1,17947.3019520162,0,1,0,370.871970874204,0
"13112021003",5.16568240789442,580.929149566406,0,17709.1080929835,0,0,0,580.929149566406,0
"13112081004",6.62500418136345,528.283931398499,0,17469.1547851111,0,0,0,528.283931398499,0
"13112081001",5.95471895448979,476.295017312147,0,17884.1639575949,0,0,0,476.295017312147,0
"13112081007",4.2064356363646,246.008991941383,1,17782.0061685142,0,1,0,246.008991941383,0
"13112081002",6.00090002327046,307.616048879491,1,17865.5606666096,0,1,0,307.616048879491,0
"13112081005",5.18943267183877,446.068081710599,0,17899.4888108414,0,0,0,446.068081710599,0
"13112011001",2.80648952275643,1002.32171794192,0,18494.7728126209,0,0,0,1002.32171794192,0
"13112081003",0.732299804950551,997.330658831265,0,18758.9272152046,0,0,0,997.330658831265,0
"13112051005",2.96746353393475,766.168892490015,0,17112.9268676086,0,0,0,766.168892490015,0
"13112011003",0.244099934983517,2212.85899565234,0,19749.1291752184,0,0,0,2212.85899565234,0
"13122101004",5.06747042877066,410.498783237008,0,9101.77829964948,0,0,0,410.498783237008,0
"13112011002",3.19836887783808,976.201723562804,0,21101.0567778055,0,0,0,976.201723562804,0
"13112041004",0.409032323485893,1012.89313483487,0,15987.1659534068,0,0,0,1012.89313483487,0
"13112051001",4.62074579628257,411.718424825644,0,14644.3606518324,0,0,0,411.718424825644,0
"13122091003",4.72251611645073,481.530232167543,0,8219.42053898917,0,0,0,481.530232167543,0
"13122011001",2.2803616929468,172.059378976355,1,4260.55689043018,0,1,0,172.059378976355,0
"13122011002",5.88711850715917,317.634575650902,1,4813.49902946514,0,1,0,317.634575650902,0
"13122071003",7.06240532347044,557.474522046751,0,5490.58016112736,0,0,0,557.474522046751,0
"13122021001",3.58233526997733,553.267471884188,0,6135.33422230134,0,0,0,553.267471884188,0
"13122011003",7.83168396687418,396.884587664859,0,5063.12063836444,0,0,0,396.884587664859,0
"13122011004",6.31296918475767,389.595437262407,0,4574.25846970257,0,0,0,389.595437262407,0
"13122071001",3.78228666340172,302.049846820104,1,5165.17369211243,0,1,0,302.049846820104,0
"13122081001",5.16057756616675,414.596523386483,0,6724.1000799946,0,0,0,414.596523386483,0
"13122081002",7.4180440613932,413.891581431715,0,7099.02862793327,0,0,0,413.891581431715,0
"13122091004",4.46456355546813,407.601990049793,0,7489.85347351859,0,0,0,407.601990049793,0
"13122091002",6.76476775310589,688.040703337535,0,8620.41911798236,0,0,0,688.040703337535,0
"13122071002",4.35314025989576,352.727074963679,1,5642.24672575652,0,1,0,352.727074963679,0
"13122021002",6.85940123701667,502.338040212025,0,6270.94909088182,0,0,0,502.338040212025,0
"13122071004",6.18780877055309,537.419547901879,0,5588.3294618048,0,0,0,537.419547901879,0
"13122071005",4.55156530680545,369.942344218717,1,5698.05517931323,0,1,0,369.942344218717,0
"13122021003",4.96062617274236,231.200290185701,1,6190.49397147963,0,1,0,231.200290185701,0
"13122061001",9.54271840984162,347.137687093419,1,5106.54738286723,0,1,0,347.137687093419,0
"13122021004",6.23817820553786,342.791875849887,1,6617.08624109584,0,1,0,342.791875849887,0
"13122061002",6.75560967401776,371.034954226498,1,5491.01927382753,0,1,0,371.034954226498,0
"13122081004",5.92527717002642,252.238903212486,1,6991.06464196874,0,1,0,252.238903212486,0
"13122081003",6.96929818607435,290.795655288585,1,7393.16977507697,0,1,0,290.795655288585,0
"13122061003",6.71592466463582,333.449659585859,1,6039.56375923191,0,1,0,333.449659585859,0
"13122091001",8.5276979775728,394.490228804385,0,7967.90789279203,0,0,0,394.490228804385,0
"13122031002",7.18756573767501,147.945744511483,1,7127.19418835055,0,1,0,147.945744511483,0
"13122031003",9.82203982202988,764.513968374747,0,7882.22629796839,0,0,0,764.513968374747,0
"13127041003",6.10267417059509,136.321705111231,1,6308.18552866297,0,1,0,136.321705111231,0
"13122031006",7.2043555493366,533.104389454488,0,6794.25211019342,0,0,0,533.104389454488,0
"13122111003",7.39056982412878,669.190999117075,0,5563.79215730569,0,0,0,669.190999117075,0
"13122111002",8.846704399143,162.818391392332,1,6492.47859160803,0,1,0,162.818391392332,0
"13122031005",9.93193677108756,459.682570921073,0,8096.12879770764,0,0,0,459.682570921073,0
"13122111004",9.55187648892976,315.530149495151,1,5854.51014563518,0,1,0,315.530149495151,0
"13127061004",6.89142337374225,179.320085128258,1,4971.89801576387,0,1,0,179.320085128258,0
"13122111005",8.85738882474583,405.086720572192,0,6280.52192550954,0,0,0,405.086720572192,0
"13122031009",9.13823658344878,941.772510298319,0,8415.36764246305,0,0,0,941.772510298319,0
"13122031011",7.60731102921475,1369.46955238832,0,9941.59093858444,0,0,0,1369.46955238832,0
"13122111001",8.76275534083505,532.309497706929,0,6049.23852360618,0,0,0,532.309497706929,0
"13127121002",5.30301341720677,605.344505432351,0,7124.09042356822,0,0,0,605.344505432351,0
"13101121006",5.40320293415736,29.019246097302,1,4986.33961683788,0,1,0,29.019246097302,0
"13122031007",9.24508083947708,424.686525060132,0,7160.98082635707,0,0,0,424.686525060132,0
"13122031008",7.22725074705695,632.897156713167,0,7912.63651977096,0,0,0,632.897156713167,0
"13127061007",3.11758578319034,310.427267205959,1,6145.47138705329,0,1,0,310.427267205959,0
"13122051003",5.72685212311672,746.657304152094,0,6926.190634469,0,0,0,746.657304152094,0
"13122041005",4.10587212451599,233.639034047533,1,8166.73075002716,0,1,0,233.639034047533,0
"13122041004",4.12876732223634,228.743103286571,1,8302.56410670018,0,1,0,228.743103286571,0
"13101121003",3.32085608208755,70.0908283818634,1,5366.91730338233,0,1,0,70.0908283818634,0
"13122051001",6.53123673635833,490.090912813529,0,7278.40510862144,0,0,0,490.090912813529,0
"13122051005",7.05935263044106,283.297433389103,1,8385.54430122482,0,1,0,283.297433389103,0
"13122051004",5.93748794214394,302.211781076208,1,7658.75216738631,0,1,0,302.211781076208,0
"13101131006",3.62800637113194,163.961283711157,1,5927.21061838247,0,1,0,163.961283711157,0
"13122031001",6.75560967401776,874.379656833743,0,9633.21436816432,0,0,0,874.379656833743,0
"13122051002",9.36871490716696,477.148307218743,0,7993.22610179017,0,0,0,477.148307218743,0
"13122041001",5.75280001386645,483.815023577188,0,8024.40647166747,0,0,0,483.815023577188,0
"13122041002",6.54802654801992,356.197646414107,1,8485.87835128632,0,1,0,356.197646414107,0
"13122101003",3.24501269023085,125.583922408567,1,9118.01179032056,0,1,0,125.583922408567,0
"13122041003",5.9283298630558,276.655781513343,1,8726.60694113739,0,1,0,276.655781513343,0
"13122101005",4.89041423306663,275.906022382975,1,8910.49380484842,0,1,0,275.906022382975,0
"13122031004",7.34020038914401,856.419931816046,0,9051.12697183697,0,0,0,856.419931816046,0
"13122031010",9.74877518932476,1044.01221970678,0,9389.39775828364,0,0,0,1044.01221970678,0
"13122061004",7.62867988042041,266.613775450626,1,5627.75640219706,0,1,0,266.613775450626,0
"13123061004",9.53684214539545,23.7654812571749,1,3121.6424832488,0,1,0,23.7654812571749,0
"13127051001",6.02005814734055,543.77679643894,0,7913.21088630218,0,0,0,543.77679643894,0
"13127051002",6.66695719735254,236.003298699962,1,7547.63311353843,0,1,0,236.003298699962,0
"13127121003",6.57342962385683,517.092190103674,0,6721.96122905616,0,0,0,517.092190103674,0
"13127041004",4.14483029875156,176.760481346033,1,6560.36444947517,0,1,0,176.760481346033,0
"13127061001",7.70978964182971,229.641188941911,1,5623.97917234338,0,1,0,229.641188941911,0
"13127061006",7.16888850844619,290.544026578008,1,6322.0648945304,0,1,0,290.544026578008,0
"13127051003",5.68647646853918,215.404631626443,1,7317.15959537653,0,1,0,215.404631626443,0
"13127121001",4.21029960019856,75.5972278331479,1,6674.1829506046,0,1,0,75.5972278331479,0
"13127041001",7.04574387001017,540.228897499971,0,7089.89207355199,0,0,0,540.228897499971,0
"13127061002",4.42541301923869,255.431464725419,1,5692.38544565841,0,1,0,255.431464725419,0
"13127041002",7.79864083665064,549.228196467548,0,6737.43520335026,0,0,0,549.228196467548,0
"13127111001",7.44167726447534,428.913163421668,0,6789.0963970199,0,0,0,428.913163421668,0
"13127131001",4.72002487575018,690.044195968725,0,4043.68624234018,0,0,0,690.044195968725,0
"13127061003",3.82371896308295,359.677301816461,1,5506.23488068689,0,1,0,359.677301816461,0
"13127071001",4.04506755368947,324.568869179832,1,5334.27421886483,0,1,0,324.568869179832,0
"13127111002",6.68722150494328,259.015297093714,1,6485.36996548346,0,1,0,259.015297093714,0
"13127111005",7.78305290773469,245.261875832139,1,5904.40955960024,0,1,0,245.261875832139,0
"13127111003",4.04974393236425,180.604307709593,1,5765.04159773067,0,1,0,180.604307709593,0
"13127031001",4.48152956333612,571.448418701601,0,5761.11011116687,0,0,0,571.448418701601,0
"13127131002",4.27888648742874,822.100003566808,0,3639.98772645562,0,0,0,822.100003566808,0
"13127071003",5.08166482660026,196.545235915379,1,5156.6605498145,0,1,0,196.545235915379,0
"13127131003",7.15485937242183,256.633672749349,1,4228.02865428375,0,1,0,256.633672749349,0
"13127091002",7.60379172520124,668.965334309665,0,3738.69359236252,0,0,0,668.965334309665,0
"13127031002",1.81287613292518,438.530566132867,0,5223.25732216435,0,0,0,438.530566132867,0
"13127081002",3.49325487006478,309.779259824555,1,4615.90731094264,0,1,0,309.779259824555,0
"13127091003",3.85801240669805,137.560791590596,1,3170.29933035633,0,1,0,137.560791590596,0
"13127101002",3.24696559319274,123.844475365127,1,3940.02014494122,0,1,0,123.844475365127,0
"13127091001",6.78386666422218,737.394073228094,0,3776.96060408995,0,0,0,737.394073228094,0
"13107041001",6.23628740355824,222.845908417689,1,7428.18812148221,0,1,0,222.845908417689,0
"13127021001",8.05740045665544,231.066237394418,1,4876.81491074831,0,1,0,231.066237394418,0
"13127101001",3.6148407156092,158.098047778687,1,3668.83543712658,0,1,0,158.098047778687,0
"13127021004",4.97722570286338,333.816617939344,1,4068.16864959043,0,1,0,333.816617939344,0
"13108011001",5.18642570280367,164.475176432331,1,6481.21559776785,0,1,0,164.475176432331,0
"13124011002",5.48256460520239,629.479280546411,0,14125.8557363303,0,0,0,629.479280546411,0
"13127011001",5.04737138298516,60.5465721707456,1,4670.02440671057,0,1,0,60.5465721707456,0
"13127011002",6.25231828818823,116.86491966614,1,4517.35982991531,0,1,0,116.86491966614,0
"13127021002",8.97552946980499,143.771996678486,1,4442.89261562608,0,1,0,143.771996678486,0
"13107011002",5.44222596397473,418.42668766086,0,11276.4492023979,0,0,0,418.42668766086,0
"13127061005",4.44255974104624,309.657395242368,1,5102.20551591783,0,1,0,309.657395242368,0
"13120021005",7.47946608918863,123.767376768994,1,2183.50637696497,0,1,0,123.767376768994,0
"13107011007",7.20465501280641,499.876241305947,0,11866.0108087335,0,0,0,499.876241305947,0
"13107011008",11.3605660024965,816.435225773643,0,10508.3070679045,0,0,0,816.435225773643,0
"13107011004",8.12137634956135,305.244535594972,1,11923.0516808569,0,1,0,305.244535594972,0
"13121011003",8.65231501222019,549.200201894086,0,9611.84339116401,0,0,0,549.200201894086,0
"13107011003",8.90252622102154,249.439665990052,1,9995.68943724184,0,1,0,249.439665990052,0
"13107011006",8.2101433804091,386.125754492442,0,10696.1912166601,0,0,0,386.125754492442,0
"13107031001",6.4331888174387,963.259613060186,0,8225.76449835496,0,0,0,963.259613060186,0
"13107041002",5.18076670947773,410.512443838488,0,7099.47032281706,0,0,0,410.512443838488,0
"13107031003",0.345384447298515,1451.91008060641,0,5912.4394227086,0,0,0,1451.91008060641,0
"13107041003",10.2985895243543,1152.8755242117,0,6389.44142286117,0,0,0,1152.8755242117,0
"13107021002",8.63783907449371,581.331352213598,0,8290.68912369754,0,0,0,581.331352213598,0
"13107031002",9.41253316189225,471.394392478479,0,7773.55337477525,0,0,0,471.394392478479,0
"13107061001",7.59684389455192,530.156848976459,0,6103.31288903713,0,0,0,530.156848976459,0
"13107051001",5.70045732644091,309.905789522054,1,4706.64277238222,0,1,0,309.905789522054,0
"13107011009",8.33441722359595,136.282078972044,1,7511.90902748164,0,1,0,136.282078972044,0
"13107011005",8.9929071978847,208.516265226968,1,11358.8553839592,0,1,0,208.516265226968,0
"13107011010",10.2211201156145,422.59080818591,0,12153.0743732484,0,0,0,422.59080818591,0
"13107011001",5.34538920304992,1125.8852218477,0,8726.10630363267,0,0,0,1125.8852218477,0
"13124041002",5.89978523343394,156.992997870787,1,14561.7371314405,0,1,0,156.992997870787,0
"13107021003",11.417054113036,381.02834824438,0,7900.01461802945,0,0,0,381.02834824438,0
"13121011002",6.62826280093727,791.223444477231,0,9433.383101723,0,0,0,791.223444477231,0
"13107021001",5.57941137528489,852.723024868783,0,8435.39604620099,0,0,0,852.723024868783,0
"13114051001",11.1928225793928,335.476726537888,1,3754.2408342631,0,1,0,335.476726537888,0
"13121021002",6.4946811628899,235.890913291196,1,8169.18200469999,0,1,0,235.890913291196,0
"13115011008",15.2684460105635,295.775417652146,1,11405.3633358878,0,1,0,295.775417652146,0
"13105071001",6.16225050068699,268.469221297748,1,17618.346478083,0,1,0,268.469221297748,0
"13115021001",8.43657604501595,104.46768946871,1,10493.5268085387,0,1,0,104.46768946871,0
"13115011011",10.114870716886,3150.217889096,0,12477.8449235364,0,0,0,3150.217889096,0
"13121021004",4.34575915951922,582.416592571119,0,8754.09463773972,0,0,0,582.416592571119,0
"13124041003",4.24518023250046,324.25742934154,1,14907.1737867416,0,1,0,324.25742934154,0
"13115011007",11.5605304837444,1223.00516832606,0,12856.2323727002,0,0,0,1223.00516832606,0
"13115021005",13.4524694561354,396.714452049879,0,10970.8109665759,0,0,0,396.714452049879,0
"13115041005",12.7237050088029,518.339505562915,0,12099.6377838129,0,0,0,518.339505562915,0
"13121061001",8.69732621634485,1115.57468428638,0,9981.69164743278,0,0,0,1115.57468428638,0
"13121011001",5.31277406103603,423.649679913785,0,9057.62842175775,0,0,0,423.649679913785,0
"13121031004",5.5305702100263,377.363329155732,0,9873.62323512178,0,0,0,377.363329155732,0
"13121031001",5.01221537542945,479.060947595726,0,9389.84370282721,0,0,0,479.060947595726,0
"13121051001",4.8931534806481,503.418288787553,0,9995.07894369595,0,0,0,503.418288787553,0
"13121061003",4.46046513132076,250.580118716247,1,10839.0077174445,0,1,0,250.580118716247,0
"13121051004",6.83153920666152,178.540146239006,1,9968.44481407081,0,1,0,178.540146239006,0
"13121031002",3.06802175210963,438.554490635958,0,9290.28779932065,0,0,0,438.554490635958,0
"13121051002",5.76869399958899,686.334642276846,0,10509.4150713056,0,0,0,686.334642276846,0
"13121031003",5.16467267972264,651.447607626512,0,9819.49533678361,0,0,0,651.447607626512,0
"13121041001",5.91243945792257,630.481941096846,0,10363.6538435305,0,0,0,630.481941096846,0
"13121041003",6.12007178662663,414.399212762478,0,10815.5037784498,0,0,0,414.399212762478,0
"13121071002",3.09415728998846,78.3143232297666,1,11700.2858991019,0,1,0,78.3143232297666,0
"13121071001",5.31712998401583,185.261870031814,1,11383.408185742,0,1,0,185.261870031814,0
"13121071003",4.82636266162442,143.216763707518,1,11372.5863220308,0,1,0,143.216763707518,0
"13121051003",2.47706820118269,601.315434572101,0,10800.2907040625,0,0,0,601.315434572101,0
"13106111003",4.87558215214325,312.058805998272,1,9973.841962195,0,1,0,312.058805998272,0
"13121071004",5.80499335775404,346.874761423613,1,11273.3878729703,0,1,0,346.874761423613,0
"13121041004",4.11779919024274,189.66226408435,1,10299.545921685,0,1,0,189.66226408435,0
"13121041002",4.08004785775109,174.281650751014,1,10900.4305064698,0,1,0,174.281650751014,0
"13121081001",4.8103909440318,350.089314528969,1,11333.0874669515,0,1,0,350.089314528969,0
"13121081002",3.72576612206025,499.965366860796,0,11219.3293911554,0,0,0,499.965366860796,0
