"cand_geocodigo","demanda_cubierta","n_zonas_cubiertas"
"13130051003",8.75643813371319,1
"13119191006",8.72949675545042,1
"13121061001",8.69732621634485,1
"13121011003",8.65231501222019,1
"13119051005",8.65209387590218,1
"13105101002",8.65098186088534,1
"13107021002",8.63783907449371,1
"13125021004",8.61707916881371,1
"13114141004",8.55621951312319,1
"13106141001",8.4190380332091,1
"13124051001",8.3745539788378,2
"13113051004",8.35596231496557,1
"13119071010",8.2774639388887,1
"13119191004",8.14587904365669,1
"13113011003",8.12546974239828,1
"13119161003",8.11182177665547,1
"13124061013",8.09534929986916,1
"13119181005",7.97094853587767,1
"13119021009",7.93998738405838,1
"13110171001",7.86254319673664,1
"13119051006",7.82233500714505,1
"13113051001",7.80278014080409,1
"13120041004",7.77737926087644,1
"13125021014",7.70397581459704,1
"13102011004",7.67177034794871,1
"13108031005",7.66837323612156,1
"13122031011",7.60731102921475,1
"13127091002",7.60379172520124,1
"13129061003",7.46168496206113,1
"13110081002",7.40449753525352,1
"13122111003",7.39056982412878,1
"13122031004",7.34020038914401,1
"13114111005",7.29826749066088,1
"13125011002",7.25409886961018,1
"13122031006",7.2043555493366,1
"13119121001",7.20156391316818,1
"13116021001",7.18833417271775,1
"13129031004",7.16994381773943,1
"13127061006",7.16888850844619,1
"13105061004",7.14528584753356,1
"13110131002",7.13414727640821,1
"13119071012",7.11642074566511,1
"13109041002",7.06330129149057,1
"13121061002",7.03336363805917,1
"13110081003",7.01533092060996,1
"13128071010",7.00942375453186,1
"13105061005",6.99498705483388,1
"13112021001",6.9891748951767,1
"13126061001",6.98207219510464,1
"13122081003",6.96929818607435,1
"13111061001",6.95782264304,1
"13125041013",6.93771656705265,1
"13119161001",6.91672131643065,1
"13119201007",6.9058849132939,1
"13125021001",6.90167301359673,1
"13119201006",6.88730822220232,1
"13119191005",6.86873153111075,1
"13110131001",6.83280144648511,1
"13127091001",6.78386666422218,1
"13110091005",6.75875647113257,1
"13122031001",6.75560967401776,1
"13103091003",6.72906811442036,1
"13122061003",6.71592466463582,1
"13105081005",6.71199203074169,1
"13127111002",6.68722150494328,1
"13118051005",6.65961487945424,1
